,Time,Distance,Avg HR,Max HR,Elev Gain,Elev Loss,Avg Run Cadence,Calories,Avg Temperature,Max Run Cadence,HR median,HR std,Pace std,Lap pace median,Avg Pace(s/km),Best Lap,File name,Date,Start time,Type
0,3149.0,12.03,144,160.0,105,95,84,607,24.1,96,144.0,7.412436372831547,12.1826373574678,256.81767864145024,261.6732086616841,286.80071174377224,Szymon+_ywko+_2019-07-19_10-40-02.CSV,2019-07-19,10-40-02,-1
0,951.0000000000001,2.19,124,160.0,0,0,72,136,24.0,110,123.0,15.159957908811256,156.17827114171948,518.9295774647887,457.3525982589659,610.2586520947177,Szymon+_ywko+_2019-08-14_19-46-59.CSV,2019-08-14,19-46-59,-1
0,1483.0,5.05,125,137.0,20,30,81,219,18.8,87,126.0,8.006259491578701,18.345180782777796,293.7837837837838,298.3853063072721,323.84,Szymon+_ywko+_2020-01-15_17-03-16.CSV,2020-01-15,17-03-16,-1
0,2054.0,6.48,151,178.0,102,121,80,432,10.2,96,151.0,12.731127928130606,85.70924190677393,387.98198198198196,356.6465183886802,464.2710526315789,Szymon+_ywko+_2020-01-20_11-19-48.CSV,2020-01-20,11-19-48,-1
0,1023.0000000000001,4.02,143,155.0,0,0,81,197,20.6,87,146.0,11.099983756784997,13.369283915986681,254.00112149825895,260.47686126093146,283.24528301886795,Szymon+_ywko+_2020-05-03_11-47-10.CSV,2020-05-03,11-47-10,-1
0,555.0,2.03,141,149.0,86,78,82,103,20.5,83,143.0,6.795950014164999,19.577879589944786,281.92388719450753,281.92388719450753,301.5017667844523,Szymon+_ywko+_2019-10-06_12-43-31.CSV,2019-10-06,12-43-31,-1
0,2440.0,10.03,145,163.0,15,40,81,475,16.8,88,145.0,9.487284041197919,13.10444958782331,248.67855226574312,244.604425798352,268.57254901960783,Szymon+_ywko+_2020-05-25_17-41-38.CSV,2020-05-25,17-41-38,-1
0,2183.0,10.02,171,177.0,5,15,83,556,17.4,90,173.0,6.722685496902826,1908.7648771978597,216.1605504587156,818.3720539588859,6854.410714285715,Szymon+_ywko+_2020-04-15_13-43-09.CSV,2020-04-15,13-43-09,-1
0,4110.0,13.37,131,154.0,146,102,78,652,16.3,96,137.0,17.928662434363336,183.90976375396662,254.51757944557133,308.34830193060526,970.270202020202,Szymon+_ywko+_2019-11-20_17-59-07.CSV,2019-11-20,17-59-07,-1
0,1953.0000000000002,7.43,133,144.0,40,54,81,329,17.7,91,134.0,7.447145345524437,15.747920568159362,265.82184403578947,268.6956058512032,298.1081081081081,Szymon+_ywko+_2019-11-29_18-58-37.CSV,2019-11-29,18-58-37,-1
0,2236.0,8.03,134,144.0,5,20,83,381,16.5,90,135.0,5.913011376352807,24.75112150137134,270.5535461379235,280.2026644749678,343.23853211009174,Szymon+_ywko+_2019-12-09_16-25-38.CSV,2019-12-09,16-25-38,-1
0,3653.0000000000005,6.17,124,171.0,15,20,71,489,21.0,99,127.0,28.134064587927483,2354.0140519290803,1547.1615598885794,2286.511686097753,7721.850318471337,Szymon+_ywko+_2020-05-13_12-47-29.CSV,2020-05-13,12-47-29,-1
